nturns,InitialDeployment,LinkerrorRate,transmissionRange,AUV_NUM,locatingErrorRate,avgAggregatePercentage,avgAggregateDuration
2000,grid,0.6,300,25,0.0,1.0,583.2
2000,grid,0.7,300,25,0.0,1.0,626.2
2000,grid,0.5,300,25,0.0,1.0,438.4
2000,grid,0.9,300,25,0.0,1.0,987.7
2000,grid,0.8,300,25,0.0,1.0,767.4
2000,grid,0.2,300,25,0.0,1.0,432.9
2000,grid,0.0,300,25,0.0,1.0,594.6
2000,grid,0.4,300,25,0.0,1.0,583.0
2000,grid,0.1,300,25,0.0,1.0,736.0
2000,grid,0.9,300,36,0.0,0.9,959.9
2000,grid,0.9,300,49,0.0,1.0,492.5
2000,grid,0.8,300,36,0.0,1.0,982.9
2000,grid,0.3,300,25,0.0,1.0,903.3
2000,grid,0.7,300,36,0.0,0.9,1097.6
2000,grid,0.6,300,49,0.0,1.0,435.7
2000,grid,0.3,300,36,0.0,1.0,649.6
2000,grid,0.8,300,49,0.0,1.0,445.9
2000,grid,0.7,300,49,0.0,1.0,589.5
2000,grid,0.8,300,64,0.0,1.0,476.3
2000,grid,0.1,300,36,0.0,1.0,942.4
2000,grid,0.5,300,36,0.0,0.9916666666666666,945.2
2000,grid,0.9,300,64,0.0,1.0,617.4
2000,grid,0.6,300,36,0.0,0.9305555555555556,953.8
2000,grid,0.2,300,36,0.0,0.861111111111111,807.3
2000,grid,0.4,300,36,0.0,0.9388888888888889,1098.5
2000,grid,0.0,300,36,0.0,1.0,945.7
2000,grid,0.5,300,49,0.0,1.0,594.4
2000,grid,0.2,300,49,0.0,1.0,433.4
2000,grid,0.3,300,49,0.0,1.0,421.4
2000,grid,0.7,300,81,0.0,1.0,433.0
2000,grid,0.1,300,49,0.0,1.0,593.4
2000,grid,0.7,300,64,0.0,1.0,480.8
2000,grid,0.8,300,81,0.0,1.0,447.8
2000,grid,0.9,300,81,0.0,1.0,493.3
2000,grid,0.5,300,64,0.0,1.0,456.5
2000,grid,0.4,300,49,0.0,1.0,592.0
2000,grid,0.5,300,81,0.0,1.0,442.4
2000,grid,0.4,300,64,0.0,1.0,460.2
2000,grid,0.9,300,100,0.0,1.0,478.8
2000,grid,0.2,300,64,0.0,1.0,443.3
2000,grid,0.3,300,64,0.0,1.0,622.9
2000,grid,0.6,300,64,0.0,1.0,472.5
2000,grid,0.0,300,49,0.0,1.0,750.8
2000,grid,0.6,300,81,0.0,1.0,439.0
2000,grid,0.3,300,81,0.0,1.0,427.6
2000,grid,0.8,300,100,0.0,1.0,452.9
2000,grid,0.6,300,100,0.0,1.0,459.6
2000,grid,0.1,300,64,0.0,1.0,456.4
2000,grid,0.0,300,64,0.0,1.0,612.9
2000,grid,0.4,300,81,0.0,1.0,440.9
2000,grid,0.7,300,100,0.0,1.0,469.9
2000,grid,0.0,300,81,0.0,1.0,420.2
2000,grid,0.2,300,81,0.0,1.0,436.2
2000,grid,0.5,300,100,0.0,1.0,442.9
2000,grid,0.4,300,100,0.0,1.0,458.6
2000,grid,0.1,300,81,0.0,1.0,594.5
2000,grid,0.3,300,100,0.0,1.0,524.2
2000,grid,0.1,300,100,0.0,1.0,489.4
2000,grid,0.0,300,100,0.0,1.0,451.8
2000,grid,0.2,300,100,0.0,1.0,509.9
